Date,Company_ID,Ticker,Market_Cap_Billion_HKD,Market_Cap_Native_Billion,Currency,Close,Source,Updated_At
2026-01-08,zhipu,2513.HK,57.890270,57.890270,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-09,minimax,0100.HK,106.693210,106.693210,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-09,zhipu,2513.HK,69.820510,69.820510,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-12,minimax,0100.HK,123.083760,123.083760,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-12,zhipu,2513.HK,91.743970,91.743970,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-13,minimax,0100.HK,112.878320,112.878320,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-13,zhipu,2513.HK,80.033850,80.033850,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-14,minimax,0100.HK,114.915980,114.915980,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-14,zhipu,2513.HK,95.089720,95.089720,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-15,minimax,0100.HK,112.281440,112.281440,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-15,zhipu,2513.HK,106.095480,106.095480,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-16,minimax,0100.HK,137.372260,137.372260,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-16,zhipu,2513.HK,110.057550,110.057550,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-19,minimax,0100.HK,118.554150,118.554150,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-19,zhipu,2513.HK,98.611560,98.611560,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-20,minimax,0100.HK,122.317770,122.317770,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-20,zhipu,2513.HK,91.303740,91.303740,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-21,minimax,0100.HK,126.959570,126.959570,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-21,zhipu,2513.HK,89.806960,89.806960,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-22,minimax,0100.HK,123.885950,123.885950,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-22,zhipu,2513.HK,89.190640,89.190640,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-23,minimax,0100.HK,117.926880,117.926880,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-23,zhipu,2513.HK,84.524200,84.524200,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-26,minimax,0100.HK,121.063230,121.063230,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-26,zhipu,2513.HK,95.529950,95.529950,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-27,minimax,0100.HK,153.116760,153.116760,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-27,zhipu,2513.HK,102.749730,102.749730,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-28,minimax,0100.HK,153.054030,153.054030,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-28,zhipu,2513.HK,100.372480,100.372480,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-29,minimax,0100.HK,156.817650,156.817650,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-29,zhipu,2513.HK,99.932250,99.932250,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-30,minimax,0100.HK,148.349500,148.349500,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-01-30,zhipu,2513.HK,99.580070,99.580070,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-02,minimax,0100.HK,164.188080,164.188080,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-02,zhipu,2513.HK,98.875700,98.875700,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-03,minimax,0100.HK,182.222110,182.222110,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-03,zhipu,2513.HK,107.063980,107.063980,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-04,minimax,0100.HK,166.853980,166.853980,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-04,zhipu,2513.HK,100.020300,100.020300,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-05,minimax,0100.HK,152.426760,152.426760,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-05,zhipu,2513.HK,95.177770,95.177770,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-06,minimax,0100.HK,144.585880,144.585880,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-06,zhipu,2513.HK,89.454770,89.454770,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-09,minimax,0100.HK,161.522180,161.522180,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-09,zhipu,2513.HK,123.409370,123.409370,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-10,minimax,0100.HK,169.049430,169.049430,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-10,zhipu,2513.HK,141.688930,141.688930,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-11,minimax,0100.HK,160.894910,160.894910,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-11,zhipu,2513.HK,139.281380,139.281380,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
